a0 a1 a2 b0 b1 b2 b3 a0b0 a0b1 a0b2 a0b3 a1b0 a1b1 a1b2 a1b3 a2b0 a2b1 a2b2 a2b3

1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1 -1
0  0  0  0  0  0  0  1  1  1  1  1  1  1 -1  1  1 -1  1
0  0  0  0  0  0  0  1  1  1  1  1  1 -1 -1  1 -1  1 -1
0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1 -1 -1
0  0  0  1  0  0  0  0  1  1  1  0  1  1  1  0  1  1 -1
0  0  0  1  0  0  0  0  1  1  1  0  1  1 -1  0  1 -1  1
0  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1 -1
1  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1 -1
1  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1 -1 -1
1  0  0  1  0  0  0  1  0  0  0  0  1  1  1  0  1  1 -1
1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1 -1
